iter	Passed	Remaining
0	605	604715
1	1120	558895
2	1386	460877
3	1704	424394
4	2007	399454
5	2283	378229
6	2560	363291
7	2889	358333
8	3205	352984
9	3518	348289
10	3833	344696
11	4140	340879
12	4437	336886
13	4719	332357
14	5032	330499
15	5295	325650
16	5569	322033
17	5910	322467
18	6233	321832
19	6561	321491
20	6847	319240
21	7207	320422
22	7532	319946
23	7847	319133
24	8164	318431
25	8470	317314
26	8774	316193
27	9082	315276
28	9379	314052
29	9677	312894
30	9955	311201
31	10242	309845
32	10538	308808
33	10808	307094
34	11130	306885
35	11452	306665
36	11725	305174
37	12015	304188
38	12314	303435
39	12621	302922
40	12913	302053
41	13246	302154
42	13551	301602
43	13838	300678
44	14177	300880
45	14478	300268
46	14748	299040
47	15064	298776
48	15397	298840
49	15713	298554
50	16032	298330
51	16305	297260
52	16606	296715
53	16915	296330
54	17208	295673
55	17466	294432
56	17758	293798
57	18045	293078
58	18342	292555
59	18661	292363
60	18954	291774
61	19222	290824
62	19507	290141
63	19806	289670
64	20074	288763
65	20359	288116
66	20627	287242
67	20881	286195
68	21169	285630
69	21441	284865
70	21780	284983
71	22127	285196
72	22416	284652
73	22728	284418
74	23052	284309
75	23362	284039
76	23713	284254
77	24014	283860
78	24349	283868
79	24622	283159
80	24899	282507
81	25230	282460
82	25542	282200
83	25827	281638
84	26161	281620
85	26469	281318
86	26820	281456
87	27127	281137
88	27461	281089
89	27768	280768
90	28061	280306
91	28367	279978
92	28654	279455
93	28989	279405
94	29272	278858
95	29555	278313
96	29833	277725
97	30122	277245
98	30438	277016
99	30703	276332
100	31016	276073
101	31336	275884
102	31668	275790
103	31982	275541
104	32252	274918
105	32544	274481
106	32829	273991
107	33084	273250
108	33541	274179
109	33844	273836
110	34129	273347
111	34429	272978
112	34740	272695
113	35074	272598
114	35395	272392
115	35705	272098
116	36044	272026
117	36340	271631
118	36615	271075
119	36941	270905
120	37207	270291
121	37511	269957
122	37826	269702
123	38117	269282
124	38406	268843
125	38691	268386
126	38965	267847
127	39265	267499
128	39550	267041
129	39835	266588
130	40168	266463
131	40442	265940
132	40741	265583
133	41049	265290
134	41318	264741
135	41607	264332
136	41926	264105
137	42209	263654
138	42517	263363
139	42805	262947
